Ext, Class
aad, rAcquirement::rAbilityAddData
abd, rAcquirement::rAbilityData
abl, rAbilityList
ach, rAchievementHeader
acp, rActionParamList
acv, rAchievement
ads, rActivateDragonSkill
aeminfo, rArmedEnemyInfo
ajp, rAdjustParam
ala, rArchiveListArray
ali, rActorLight
alp, rAdjLimitParam
aml, rAnimalData
amr, rAreaMasterRankData
ams, rAreaMasterSpotData
amsd, rAreaMasterSpotDetailData
aps, rAIPawnSkillParamTbl
arc, rArchive
ari, rAreaInfo
arj, rAreaInfoJointArea
ars, rAreaInfoStage
aser, rSoundAttributeSe
atk, rAttackParam
bap, rBowActParamList
beminfo, rBlazeEnemyInfo
bjt, rBakeJoint
blow_save, rBlowSaveEmLvParam
btb, rBitTable
caip, rCaughtInfoParam
ccd, rSimpleCom::rChatComData
ccp, rCraftCapPass
cda, rCalcDamageAtdmAdj
cdarate, rCalcDamageAtdmAdjRate
cdl, rCalcDamageLvAdj
cdl_pawn, rDmLvPawnAdjParam
cdrr, rCaughtDamageRateRefTbl
cdrt, rCaughtDamageRateTbl
cecp, rCharacterEditCameraParam
cee, rCraftElementExp
chant, rMagicChantParam
cip, rCatchInfoParam
ckc, rCraftSkillCost
cks, rCraftSkillSpd
col, rObjCollision
counter_Adj, rDamageCounterInfo
cpe, rCharParamEnemy
cpl, rCameraParamList
cqi, rCycleQuestInfo
cql, rCameraQuakeList
cqr, rCraftQuality
crs, rChildRegionStatusParam
csd, rAcquirement::rCustomSkillData
csi, rCycleContentsSortieInfo
csl, rCustimShlLimit
ctc, rCnsTinyChain
cuex, rCraftUpGradeExp
damage_save, rDamageSaveEmLvParam
damage_spAdj, rDamageSpecialAdj
dgm, rGUIDogmaOrb
dja, rDmJobAdjParam
dja_pawn, rDmJobPawnAdjParam
dme, rDDOModelMontageEm
dmi, rDungeonMarker
dmt, rDDOModelMontage
dscp, rDragonSkillColorParam
dsd, rDragonSkillParam
dse, rDragonSkillEnhanceParam
dsl, rDragonSkillLevelParam
dsp, rDarkSkyParam
dtt, rEmDmgTimerTbl
dvw, rDmVecWeightParam
dwm, rDeformWeightMap
e2d, rEffect2D
ean, rEffectAnim
ebi_sv, rEmBaseInfoSv
ebs, rEnemyBloodStain
ect, rEmblemColorTable
edt, rCharacterEdit
edt_color_def, rCharacterEditColorDef
edt_mod_pal, rCharacterEditModelPalette
edt_muscle, rCharacterEditMuscle
edt_pset_pal, rCharacterEditPresetPalette
edt_tex_pal, rCharacterEditTexturePalette
edt_voice_pal, rCharacterEditVoicePalette
edv, rEmDamageDirInfo
eef, rEmEffectTable
efl, rEffectList
efs, rEffectStrip
eir, rItemEquipJobInfoList
ele, rEnemyLocalEst
eli, rVfxLightInfluence
em_scr_adj, rEmScrAdjust
ema, rEnemyMaterialTable
emg, rEnemyGroup
emparam, rEmparam
eoc, rOcdElectricParam
epi, rEquipPartsInfo
epl, rEnhancedParamList
epp, rEquipPresetPalette
epv, rEffectProvider
equip_preset, rEquipPreset
equr, rSoundEQ
era, rEnemyReactResEx
eroSmall_info, rErosionSmallInfoRes
eroSuper_info, rErosionSuperInfoRes
ero_addTime, rErosionShakeConvert
esa, rEmStatusAdj
esh, rEnemyLocalShelTable
esi, rEndContentsSortieInfo
esl, rEmScaleTable
esn, rEmSoundTable
esp, rEditStageParam
est, rEnemyStatusChange
evd, rEvidenceList
evl, rEvaluationTable
evlst, rEventViewerList
evp, rEventParam
evsi, rEventViewerSetInfo
evtr, rEventResTable
ewk, rEmWorkRateTable
ewp, rEmWarpParam
f2p, rFreeF32Tbl
faa, rFieldAreaAdjoinList
fad, rFurnitureAccessories
fal, rFieldAreaList
fat_adjust, rFatAdjust
fbik_human2, rFullbodyIKHuman2
fedt_jntpreset, rFacialEditJointPreset
fmd, rFieldMapData
fmi, rFieldAreaMarkerInfo
fnd, rFurnitureData
fng, rFurnitureGroup
fni, rFurnitureItem
fnl, rFurnitureLayout
fsm, rAIFSM
gat, rGatheringItem
gfd, rGUIFont
gii, rGUIIconInfo
gmd, rGUIMessage
gmp, rGUIMapSetting
gpl, rLayoutGroupParamList
grs, rGrass
grw, rGrassWind
gui, rGUI
head_ctrl, rHeadCtrl
hmcs, rHumanEnemyCustomSkill
hmeparam, rHumanEnemyParam
hmeq, rHumanEnemyEquip
hmpre, rHumanEnemyPreset
