2EA55F30,DDON_01010004/nativePC/rom/game_common/param/PlayerExpTable.2EA55F30,00000000: 0200 0000	....
3FD51519,DDON_01010004/nativePC/rom/craft_common/craft/craftskill_gain.3FD51519,00000000: 0200 0000	....
46ECE09C,DDON_01010004/nativePC/rom/craft_common/craft/craftskill_str.46ECE09C,00000000: 0400 0000	....
4BB8A7C5,DDON_01010004/nativePC/rom/craft_common/craft/craftskill_burst.4BB8A7C5,00000000: 0200 0000	....
5362A636,DDON_01010004/nativePC/rom/EM/EM010300/obj/em/em010300/params/em010300.5362A636,00000000: 0001 0000	....
5810D1F1,DDON_01010004/nativePC/rom/craft_common/craft/craftrecipe.5810D1F1,00000000: 5243 5000	RCP.
60BA5E0B,DDON_01010004/nativePC/rom/game_common/craft/craft_wep01_quality.60BA5E0B,00000000: 0200 0000	....
767645BE,DDON_01010004/nativePC/rom/game_common/craft/craft_arm01_quality.767645BE,00000000: 0300 0000	....
aad,DDON_01010004/nativePC/rom/ui/uGUICharacter/ui/00_param/skill_ability/ability_add_data.aad,00000000: 0100 0000	....
abd,DDON_01010004/nativePC/rom/ui/gui_cmn/ui/00_param/skill_ability/ability_data.abd,00000000: 0300 0000	....
abl,DDON_01010004/nativePC/rom/base/obj/pl/pl000000/param/etc/abilityinfo.abl,00000000: 6162 6c30	abl0
ach,DDON_01010004/nativePC/rom/ui/uGUIArisenCarui/00_param/AchievementTotalInfo.ach,00000000: 0300 0000	....
acv,DDON_01010004/nativePC/rom/ui/uGUIAchievement/ui/00_param/achievement.acv,00000000: 0200 0000	....
ajp,DDON_01010004/nativePC/rom/base/obj/pl/pl000000/param/jobleveluptbl/baseStatus.ajp,00000000: 0001 0000	....
ala,DDON_01010004/nativePC/rom/ala/ala/00.ala,00000000: 0b00 0000	....
ali,DDON_01010004/nativePC/rom/character_edit_select/param/actorlight.ali,00000000: 5442 4c00	TBL.
alp,DDON_01010004/nativePC/rom/game_common/etc/dmAdjLimitParam.alp,00000000: 0500 0000	....
amr,DDON_01010004/nativePC/rom/ui/uGUIAreaMaster/ui/00_param/master/am_rank_01.amr,00000000: 0200 0000	....
ams,DDON_01010004/nativePC/rom/ui/uGUIAreaMaster/ui/00_param/master/am_spot_01.ams,00000000: 0600 0000	....
amsd,DDON_01010004/nativePC/rom/ui/uGUIAreaMaster/ui/00_param/master/am_spot_detail_01.amsd,00000000: 0300 0000	....
aps,DDON_01010004/nativePC/rom/game_common/pw/pw_skl_prm.aps,00000000: 0600 0000	....
arc,DDON_01010004/nativePC/rom/ala.arc,00000000: 4152 4343	ARCC
ari,DDON_01010004/nativePC/rom/game_common/scr/area_list.ari,00000000: 4152 4900	ARI.
arj,DDON_01010004/nativePC/rom/game_common/scr/area_ja_list.arj,00000000: 4152 4a00	ARJ.
ars,DDON_01010004/nativePC/rom/game_common/scr/area_stage_list.ars,00000000: 4152 5300	ARS.
aser,DDON_01010004/nativePC/rom/sounmt/mt_attri/sounse/mt/mt_atribase.aser,00000000: 5846 5300	XFS.
atk,DDON_01010004/nativePC/rom/job01_cs01/obj/pl/pl000000/collision/job01/cs01/cs01_01.atk,00000000: 6900 0000	i...
bap,DDON_01010004/nativePC/rom/game_common/obj/pl/pl000000/param/bowparam/job03_bow_param.bap,00000000: 5846 5300	XFS.
