aad,DDON_02030004/nativePC/rom/ui/uGUICharacter/ui/00_param/skill_ability/ability_add_data.aad,00000000: 0100 0000	....
abd,DDON_02030004/nativePC/rom/ui/gui_cmn/ui/00_param/skill_ability/ability_data.abd,00000000: 0300 0000	....
abl,DDON_02030004/nativePC/rom/base/obj/pl/pl000000/param/etc/abilityinfo.abl,00000000: 6162 6c30	abl0
ach,DDON_02030004/nativePC/rom/ui/uGUIArisenCarui/00_param/AchievementTotalInfo.ach,00000000: 0300 0000	....
acv,DDON_02030004/nativePC/rom/ui/gui_cmn/ui/00_param/achievement.acv,00000000: 0200 0000	....
ajp,DDON_02030004/nativePC/rom/base/obj/pl/pl000000/param/jobleveluptbl/baseStatus.ajp,00000000: 0001 0000	....
ala,DDON_02030004/nativePC/rom/ala/ala/00.ala,00000000: 0b00 0000	....
ali,DDON_02030004/nativePC/rom/character_edit_select/param/actorlight.ali,00000000: 5442 4c00	TBL.
alp,DDON_02030004/nativePC/rom/game_common/etc/dmAdjLimitParam.alp,00000000: 0500 0000	....
aml,DDON_02030004/nativePC/rom/MyRoom/scr/st0211/etc/st0211.aml,00000000: 0000 0000	....
amr,DDON_02030004/nativePC/rom/ui/uGUIAreaMaster/ui/00_param/master/am_rank_01.amr,00000000: 0400 0000	....
ams,DDON_02030004/nativePC/rom/ui/uGUIAreaMaster/ui/00_param/master/am_spot_01.ams,00000000: 0700 0000	....
amsd,DDON_02030004/nativePC/rom/ui/uGUIAreaMaster/ui/00_param/master/am_spot_detail_01.amsd,00000000: 0400 0000	....
aps,DDON_02030004/nativePC/rom/game_common/pw/pw_skl_prm.aps,00000000: 0600 0000	....
arc,DDON_02030004/nativePC/rom/ala.arc,00000000: 4152 4343	ARCC
ari,DDON_02030004/nativePC/rom/game_common/scr/area_list.ari,00000000: 4152 4900	ARI.
arj,DDON_02030004/nativePC/rom/game_common/scr/area_ja_list.arj,00000000: 4152 4a00	ARJ.
ars,DDON_02030004/nativePC/rom/game_common/scr/area_stage_list.ars,00000000: 4152 5300	ARS.
aser,DDON_02030004/nativePC/rom/sounmt/mt_attri/sounse/mt/mt_atribase.aser,00000000: 5846 5300	XFS.
atk,DDON_02030004/nativePC/rom/EM/EM010160/obj/em/em010160/collision/em010160_level0.atk,00000000: 6e00 0000	n...
bap,DDON_02030004/nativePC/rom/game_common/obj/pl/pl000000/param/bowparam/job03_bow_param.bap,00000000: 5846 5300	XFS.
bft,DDON_02030004/nativePC/rom/launcher/ui/l_uGUITitle/etc/browser/fontjpn00.bft,00000000: 0000 1420	... 
bjt,DDON_02030004/nativePC/rom/Human/obj/pl/pl000000/param/etc/bake_event_high.bjt,00000000: 0300 0000	....
blow_save,DDON_02030004/nativePC/rom/em_common/obj/em/emParams/BlowDamageSave.blow_save,00000000: 0200 0000	....
btb,DDON_02030004/nativePC/rom/EM/EM010100/obj/em/em010100/params/collisionBit.btb,00000000: 0200 0000	....
caip,DDON_02030004/nativePC/rom/EM/EM010100/obj/catchparam/em_goblin_s.caip,00000000: 0f00 0000	....
ccp,DDON_02030004/nativePC/rom/craft_common/craft/craf_cap.ccp,00000000: 0200 0000	....
cda,DDON_02030004/nativePC/rom/game_common/etc/calcDamageAdjAtDm.cda,00000000: 0100 0000	....
cdarate,DDON_02030004/nativePC/rom/game_common/etc/calcDamageAtdmAdjRate.cdarate,00000000: 0100 0000	....
cdl,DDON_02030004/nativePC/rom/game_common/etc/calcDamageAdjLv.cdl,00000000: 1100 0000	....
cdl_pawn,DDON_02030004/nativePC/rom/game_common/obj/pl/pl000000/param/etc/dmLvPawnAdj.cdl_pawn,00000000: 0200 0000	....
cdrr,DDON_02030004/nativePC/rom/game_common/param/caughtdamageratereftbl.cdrr,00000000: 0100 0000	....
cdrt,DDON_02030004/nativePC/rom/game_common/param/caughtdamageratetbl.cdrt,00000000: 0100 0000	....
cecp,DDON_02030004/nativePC/rom/character_edit_select/ui/05_edit/camera_param.cecp,00000000: 0400 0000	....
cee,DDON_02030004/nativePC/rom/craft_common/craft/craft_color_exp.cee,00000000: 0100 0000	....
chant,DDON_02030004/nativePC/rom/EM/EM011003/obj/hmem/magic_chant/job04.chant,00000000: 1100 0000	....
cip,DDON_02030004/nativePC/rom/EM/EM010310/obj/catchparam/em010310.cip,00000000: 1200 0000	....
ckc,DDON_02030004/nativePC/rom/craft_common/craft/craftskill_cost.ckc,00000000: 0200 0000	....
cks,DDON_02030004/nativePC/rom/craft_common/craft/craftskill_spd.cks,00000000: 0300 0000	....
col,DDON_02030004/nativePC/rom/EM/EM010100/obj/em/em010100/collision/em010100.col,00000000: 434f 4c00	COL.
cpe,DDON_02030004/nativePC/rom/EM/EM010100/obj/em/em010100/params/em010100.cpe,00000000: 6370 6500	cpe.
cpl,DDON_02030004/nativePC/rom/camera/camera/cam/cmn_act.cpl,00000000: 5846 5300	XFS.
cqi,DDON_02030004/nativePC/rom/game_common/ui/00_param/cycle_quest/cycle_quest_info.cqi,00000000: 4351 4900	CQI.
cql,DDON_02030004/nativePC/rom/camera/camera/cam_quake.cql,00000000: 5846 5300	XFS.
cqr,DDON_02030004/nativePC/rom/game_common/craft/craft_quality.cqr,00000000: 0100 0000	....
crs,DDON_02030004/nativePC/rom/EM/EM011000/obj/hmem/region/hmem_child_region.crs,00000000: 4100 0000	A...
csd,DDON_02030004/nativePC/rom/skill/custom_skill_data_01/ui/00_param/skill_ability/costom_skill_data_01.csd,00000000: 0100 0000	....
csl,DDON_02030004/nativePC/rom/game_common/param/shl_limit.csl,00000000: 0100 0000	....
ctc,DDON_02030004/nativePC/rom/EM/EM010310/obj/em/em010310/model/em010310.ctc,00000000: 4354 4300	CTC.
cuex,DDON_02030004/nativePC/rom/craft_common/craft/craft_upgrade_exp.cuex,00000000: 0100 0000	....
damage_save,DDON_02030004/nativePC/rom/em_common/obj/em/emParams/DamageSaveEm.damage_save,00000000: 0200 0000	....
damage_spAdj,DDON_02030004/nativePC/rom/em_common/obj/em/emParams/damageSpAdj.damage_spAdj,00000000: 0200 0000	....
dgm,DDON_02030004/nativePC/rom/ui/uGUIDogmaOrb/ui/00_param/orb_devote/dgmorbres_pawn_1_br1.dgm,00000000: 0100 0000	....
dja,DDON_02030004/nativePC/rom/game_common/obj/pl/pl000000/param/etc/dmJobAdj.dja,00000000: 0900 0000	....
dja_pawn,DDON_02030004/nativePC/rom/game_common/obj/pl/pl000000/param/etc/dmJobPawnAdj.dja_pawn,00000000: 0200 0000	....
dme,DDON_02030004/nativePC/rom/EM/EM010100/obj/em/em010100/model/em010100.dme,00000000: 444d 4500	DME.
dmi,DDON_02030004/nativePC/rom/marker/st0830_marker/scr/st0830/etc/st0830_dungeon.dmi,00000000: 444d 4900	DMI.
dmt,DDON_02030004/nativePC/rom/armor/aa200000_00/obj/aa/aa200000/model/aa200000_00.dmt,00000000: 444d 5400	DMT.
dtt,DDON_02030004/nativePC/rom/EM/EM010100/obj/em/em010100/params/em010100.dtt,00000000: 0200 0000	....
dvw,DDON_02030004/nativePC/rom/game_common/etc/dmWeightParam.dvw,00000000: 0100 0000	....
dwm,DDON_02030004/nativePC/rom/armor/ab210000_00/obj/ab/ab210000/model/ab210000_00.dwm,00000000: 4457 4d00	DWM.
e2d,DDON_02030004/nativePC/rom/effect_common/effect/rtt/cm/e_cm000_00.e2d,00000000: 4532 4400	E2D.
ean,DDON_02030004/nativePC/rom/character_edit_select/effect/tex/cm/t_cm00_00.ean,00000000: 4541 4e00	EAN.
ebi_sv,DDON_02030004/nativePC/rom/em_common/obj/em/emParams/emBaseInfo.ebi_sv,00000000: 0800 0000	....
ebs,DDON_02030004/nativePC/rom/EM/EM020402/obj/em/em020402/params/em020402_blood.ebs,00000000: 0100 0000	....
ect,DDON_02030004/nativePC/rom/ui/menu_cmn/ui/02_clan/emblemColorTable.ect,00000000: 0300 0000	....
edt,DDON_02030004/nativePC/rom/character_edit/obj/pl/pl000000/edit/preset/body/body_0000_00.edt,00000000: 4544 5400	EDT.
edt_color_def,DDON_02030004/nativePC/rom/character_edit_common/obj/pl/pl000000/edit/palette/common/color_hair.edt_color_def,00000000: 2200 0000	"...
edt_mod_pal,DDON_02030004/nativePC/rom/character_edit_common/obj/pl/pl000000/edit/palette/np/npc_beard.edt_mod_pal,00000000: 2200 0000	"...
edt_muscle,DDON_02030004/nativePC/rom/character_edit_common/obj/pl/pl000000/edit/preset/body/human_f_muscle.edt_muscle,00000000: 0001 0000	....
edt_pset_pal,DDON_02030004/nativePC/rom/character_edit_common/obj/pl/pl000000/edit/palette/common/preset_eye.edt_pset_pal,00000000: 2200 0000	"...
edt_tex_pal,DDON_02030004/nativePC/rom/character_edit_common/obj/pl/pl000000/edit/palette/common/eyebrow.edt_tex_pal,00000000: 2200 0000	"...
