Ext, Class
, 
aad, rAcquirement::rAbilityAddData
abd, rAcquirement::rAbilityData
abl, rAbilityList
ach, rAchievementHeader
acv, rAchievement
ajp, rAdjustParam
ala, rArchiveListArray
ali, rActorLight
alp, rAdjLimitParam
aml, rAnimalData
amr, rAreaMasterRankData
ams, rAreaMasterSpotData
amsd, rAreaMasterSpotDetailData
aps, rAIPawnSkillParamTbl
arc, rArchive
ari, rAreaInfo
arj, rAreaInfoJointArea
ars, rAreaInfoStage
aser, rSoundAttributeSe
atk, rAttackParam
bap, rBowActParamList
bft, rBrowserFont
bjt, rBakeJoint
blow_save, rBlowSaveEmLvParam
btb, rBitTable
caip, rCaughtInfoParam
ccp, rCraftCapPass
cda, rCalcDamageAtdmAdj
cdarate, rCalcDamageAtdmAdjRate
cdl, rCalcDamageLvAdj
cdl_pawn, rDmLvPawnAdjParam
cdrr, rCaughtDamageRateRefTbl
cdrt, rCaughtDamageRateTbl
cecp, rCharacterEditCameraParam
cee, rCraftElementExp
chant, rMagicChantParam
cip, rCatchInfoParam
ckc, rCraftSkillCost
cks, rCraftSkillSpd
col, rObjCollision
cpe, rCharParamEnemy
cpl, rCameraParamList
cqi, rCycleQuestInfo
cql, rCameraQuakeList
cqr, rCraftQuality
crs, rChildRegionStatusParam
csd, rAcquirement::rCustomSkillData
csl, rCustimShlLimit
ctc, rCnsTinyChain
cuex, rCraftUpGradeExp
damage_save, rDamageSaveEmLvParam
damage_spAdj, rDamageSpecialAdj
dgm, rGUIDogmaOrb
dja, rDmJobAdjParam
dja_pawn, rDmJobPawnAdjParam
dme, rDDOModelMontageEm
dmi, rDungeonMarker
dmt, rDDOModelMontage
dtt, rEmDmgTimerTbl
dvw, rDmVecWeightParam
dwm, rDeformWeightMap
e2d, rEffect2D
ean, rEffectAnim
ebi_sv, rEmBaseInfoSv
ebs, rEnemyBloodStain
ect, rEmblemColorTable
edt, rCharacterEdit
edt_color_def, rCharacterEditColorDef
edt_mod_pal, rCharacterEditModelPalette
edt_muscle, rCharacterEditMuscle
edt_pset_pal, rCharacterEditPresetPalette
edt_tex_pal, rCharacterEditTexturePalette
edt_voice_pal, rCharacterEditVoicePalette
edv, rEmDamageDirInfo
eef, rEmEffectTable
efl, rEffectList
efs, rEffectStrip
ele, rEnemyLocalEst
eli, rVfxLightInfluence
em_scr_adj, rEmScrAdjust
ema, rEnemyMaterialTable
emg, rEnemyGroup
eoc, rOcdElectricParam
epi, rEquipPartsInfo
epp, rEquipPresetPalette
epv, rEffectProvider
equip_preset, rEquipPreset
equr, rSoundEQ
era, rEnemyReactResEx
eroSmall_info, rErosionSmallInfoRes
eroSuper_info, rErosionSuperInfoRes
ero_addTime, rErosionShakeConvert
esa, rEmStatusAdj
esh, rEnemyLocalShelTable
esl, rEmScaleTable
esn, rEmSoundTable
esp, rEditStageParam
est, rEnemyStatusChange
evl, rEvaluationTable
evp, rEventParam
ewk, rEmWorkRateTable
ewp, rEmWarpParam
f2p, rFreeF32Tbl
faa, rFieldAreaAdjoinList
fal, rFieldAreaList
fat_adjust, rFatAdjust
fbik_human2, rFullbodyIKHuman2
fedt_jntpreset, rFacialEditJointPreset
fmd, rFieldMapData
fmi, rFieldAreaMarkerInfo
fnd, rFurnitureData
fng, rFurnitureGroup
fni, rFurnitureItem
fnl, rFurnitureLayout
fsm, rAIFSM
gat, rGatheringItem
gfd, rGUIFont
gii, rGUIIconInfo
gmd, rGUIMessage
gmp, rGUIMapSetting
gpl, rLayoutGroupParamList
grs, rGrass
grw, rGrassWind
gui, rGUI
head_ctrl, rHeadCtrl
hmcs, rHumanEnemyCustomSkill
hmeparam, rHumanEnemyParam
hmeq, rHumanEnemyEquip
hmpre, rHumanEnemyPreset
ik, rCnsIK
ikctrl, rIKCtrl
ipa, rItemList
ir_adj, rOcdIrAdj
ir_adj_pl, rOcdIrAdjPL
jex2, rJointEx2
jlt2, rJobLevelUpTbl2
jmc, rJobMasterCtrl
jmp, rJumpParamTbl
jnt_info, rJointInfo
jnt_order, rJointOrder
jobbase, rJobBaseParam
jtq, rJobTutorialQuestList
kcp, rKeyCustomParam
kctt, rKeyConfigTextTable
lae, rLinkageEnemy
